star facility; end facility; occurrences
tramFacility_12;tramFacility_10;8
tramFacility_10;tramFacility_9;6
tramFacility_9;tramFacility_8;6
tramFacility_10;tramFacility_8;33
tramFacility_12;tramFacility_9;3
tramFacility_9;tramFacility_10;8
tramFacility_10;tramFacility_7;61
tramFacility_7;tramFacility_8;25
tramFacility_12;tramFacility_8;1
tramFacility_7;tramFacility_9;37
tramFacility_9;tramFacility_12;2
tramFacility_12;tramFacility_7;2
tramFacility_7;tramFacility_10;70
tramFacility_9;tramFacility_11;2
tramFacility_7;tramFacility_12;4
tramFacility_9;tramFacility_13;8
tramFacility_7;tramFacility_11;2
tramFacility_7;tramFacility_13;1
tramFacility_13;tramFacility_12;3
tramFacility_11;tramFacility_10;11
tramFacility_11;tramFacility_13;9
tramFacility_13;tramFacility_11;6
tramFacility_13;tramFacility_10;79
tramFacility_8;tramFacility_7;23
tramFacility_11;tramFacility_9;1
tramFacility_11;tramFacility_8;1
tramFacility_8;tramFacility_9;12
tramFacility_11;tramFacility_7;7
tramFacility_13;tramFacility_9;11
tramFacility_8;tramFacility_11;5
tramFacility_13;tramFacility_8;10
tramFacility_13;tramFacility_7;2
tramFacility_8;tramFacility_10;45
tramFacility_8;tramFacility_13;8
tramFacility_8;tramFacility_12;3
tramFacility_9;tramFacility_7;27
tramFacility_12;tramFacility_11;2
tramFacility_10;tramFacility_12;10
tramFacility_12;tramFacility_13;2
tramFacility_10;tramFacility_11;12
tramFacility_10;tramFacility_13;56
