star facility; end facility; occurrences
tramFacility6;tramFacility5;35
tramFacility4;tramFacility3;40
tramFacility2;tramFacility3;26
tramFacility0;tramFacility1;5
tramFacility4;tramFacility5;36
tramFacility4;tramFacility6;51
tramFacility2;tramFacility4;7
tramFacility0;tramFacility2;20
tramFacility2;tramFacility5;2
tramFacility0;tramFacility3;114
tramFacility2;tramFacility6;10
tramFacility0;tramFacility4;31
tramFacility0;tramFacility5;13
tramFacility0;tramFacility6;14
tramFacility5;tramFacility0;14
tramFacility5;tramFacility1;4
tramFacility5;tramFacility2;6
tramFacility3;tramFacility0;127
tramFacility5;tramFacility3;88
tramFacility3;tramFacility1;22
tramFacility5;tramFacility4;41
tramFacility3;tramFacility2;28
tramFacility1;tramFacility0;5
tramFacility1;tramFacility2;2
tramFacility5;tramFacility6;40
tramFacility3;tramFacility4;36
tramFacility1;tramFacility3;18
tramFacility3;tramFacility5;91
tramFacility1;tramFacility4;1
tramFacility3;tramFacility6;114
tramFacility1;tramFacility5;3
tramFacility1;tramFacility6;2
tramFacility6;tramFacility0;10
tramFacility6;tramFacility1;4
tramFacility6;tramFacility2;5
tramFacility4;tramFacility0;21
tramFacility4;tramFacility1;2
tramFacility6;tramFacility3;119
tramFacility2;tramFacility0;13
tramFacility6;tramFacility4;64
tramFacility4;tramFacility2;3
